M/F,Phd year,Hiring year,Carnegie Class
M,2004,2012,R2
F,1900,2012,X
X,1900,2012,X
X,1900,2012,X
M,2009,2012,M1
X,1900,2012,X
M,2007,2012,R1
X,1900,2012,X
X,1900,2012,X
M,2012,2012,R1
M,2009,2012,M1
F,2008,2012,R3
M,2007,2012,R3
X,1900,2012,X
X,1900,2012,X
F,2007,2012,B
F,2009,2012,R1
M,2009,2012,R1
M,2007,2012,R1
X,1900,2012,X
X,1900,2012,X
F,2009,2012,B
M,1992,2012,M3
F,1900,2012,X
X,1900,2012,X
M,1994,2012,R1
M,1900,2012,X
M,2007,2012,R1
M,2006,2012,R1
X,1900,2012,X
M,2010,2012,M2
F,2005,2012,R1
X,1900,2012,X
M,2007,2012,R1
F,2010,2012,R1
M,2002,2012,R1
F,2009,2012,R1
M,2009,2012,R1
M,2008,2012,R1
M,2005,2012,R1
F,1900,2012,X
M,2005,2012,R1
X,1900,2012,X
X,1900,2012,X
F,2008,2012,R1
X,1900,2012,X
X,1900,2012,X
X,1900,2012,X
X,1900,2012,X
X,1900,2012,X
X,1900,2012,X
M,2008,2012,R1
M,2009,2012,R1
X,1900,2012,X
X,1900,2012,X
X,1900,2012,X
M,2009,2012,R1
M,2009,2012,R1
X,1900,,X
F,2009,2013,R1
M,2011,2013,R1
M,2008,2013,R1
X,1900,2013,X
X,1900,2013,X
X,1900,2013,X
X,1900,2013,X
X,1900,2013,X
X,1900,2013,X
F,2008,2013,R2
M,2009,2013,R2
M,2009,2013,R1
M,2008,2013,R1
F,2010,2013,R1
M,2012,2013,R1
X,1900,2013,X
X,1900,2013,X
F,2009,2013,R1
M,2007,2013,B
X,1900,2013,X
M,2005,2013,R1
M,2009,2013,R1
F,2011,2013,R1
X,1900,2013,X
M,2007,2013,R2
X,1900,2013,X
M,2010,2013,R1
F,2006,2013,B
M,2010,2013,R1
F,2007,2013,R2
M,2010,2013,R1
X,1900,2013,X
X,1900,2013,X
X,1900,2013,X
F,2015,2013,B
X,1900,2013,X
X,1900,2013,X
X,1900,2013,X
M,2000,2013,R3
X,1900,2013,X
X,1900,2013,X
F,2009,2013,R2
M,2005,2013,R2
X,1900,2013,X
M,2002,2013,R1
M,2010,2013,R1
F,2011,2013,R1
F,2010,2013,R1
M,2003,2013,R1
M,2002,2013,R1
X,1900,2013,X
X,1900,2013,X
X,1900,2013,X
F,2010,2013,R1
M,2011,2013,R1
M,2011,2013,R1
M,2009,2013,R1
F,2009,2013,M3
F,2008,2013,R1
M,2007,2013,R1
M,2009,2013,R1
M,1900,2013,R1
M,2008,2013,R1
F,2009,2013,R1
X,1900,2013,X
M,2006,2013,R1
F,2009,2013,R1
M,2003,2013,R1
M,2005,2013,R1
X,1900,2013,X
X,1900,2013,X
X,1900,2013,X
M,2008,2013,R1
M,2006,2013,B
M,2010,2014,R1
X,1900,2014,X
F,2010,2014,B
M,2009,2014,B
X,1900,2014,X
F,1900,2014,M1
M,2009,2014,R3
M,2010,2014,M1
M,2005,2014,M1
X,1900,2014,X
F,2011,2014,R1
M,2009,2014,R1
M,2006,2014,R1
X,1900,2014,X
X,1900,2014,X
M,2007,2014,R1
X,1900,2014,X
X,1900,2014,X
X,1900,2014,X
X,1900,2014,X
X,1900,2014,X
X,1900,2014,X
X,1900,2014,X
X,1900,2014,X
X,1900,2014,X
F,2011,2014,B
M,2010,2014,R1
X,1900,2014,X
X,1900,2014,X
X,1900,2014,X
X,1900,2014,X
M,2006,2014,M1
X,1900,2014,X
X,1900,2014,X
F,2009,2014,R2
X,1900,2014,X
M,2010,2014,R1
F,2011,2014,R1
M,2006,2014,R1
M,2009,2014,R2
M,2010,2014,R1
X,1900,2014,X
M,2006,2014,R1
X,1900,2014,X
F,2009,2014,R1
F,2007,2014,R1
X,1900,2014,X
F,2011,2014,R2
F,2012,2014,R2
X,1900,2014,X
M,2010,2014,R1
F,2008,2014,R1
X,1900,2014,X
F,2009,2014,R1
F,2009,2014,R1
M,1996,2014,R1
M,2008,2014,R1
X,1900,2014,X
F,2010,2014,R1
M,2006,2014,R1
X,1900,2014,X
M,2009,2014,R1
X,1900,2014,X
M,2006,2014,M1
X,1900,2014,X
X,1900,2015,X
M,2013,2015,R1
F,2004,2015,R1
X,1900,2015,X
F,2011,2015,R1
F,2009,2015,B
M,2010,2015,R1
M,2013,2015,R1
M,2013,2015,M1
X,1900,2015,X
M,2009,2015,M1
F,2010,2015,M1
F,2012,2015,R1
M,2011,2015,R1
M,2011,2015,R1
X,1900,2015,X
X,1900,2015,X
X,1900,2015,X
X,1900,2015,X
F,2011,2015,R1
F,1900,2015,M2
X,1900,2015,X
X,1900,2015,X
F,1900,2015,R2
X,1900,2015,X
X,1900,2015,X
M,2010,2015,R1
X,1900,2015,X
M,2011,2015,R1
M,2006,2015,R2
F,2009,2015,R2
X,1900,2015,X
M,2009,2015,M1
X,1900,2015,X
X,1900,2015,X
F,2013,2015,R1
M,2009,2015,R1
X,1900,2015,X
X,1900,2015,X
M,2008,2015,R1
F,2009,2015,R3
X,1900,2015,X
X,1900,2015,X
X,1900,2015,X
X,1900,2015,X
M,2011,2015,R1
X,1900,2015,X
X,1900,2015,X
M,2009,2015,R1
M,2006,2015,R1
F,2010,2015,R1
F,2010,2015,R1
M,2010,2015,R1
F,2009,2015,B
F,2014,2016,B
M,2010,2016,B
X,1900,2016,X
M,2006,2016,R1
M,2014,2016,R1
X,1900,2016,M1
X,1900,2016,M1
